_step,total_comm_count,epi_reward_agent-0,run_id,run_name
153,0.0,-2398.154365539551,yc5j624o,env_reset=40 aorpo alpha50
232,0.0,-2398.154365539551,yc5j624o,env_reset=40 aorpo alpha50
334,0.0,-1487.1657485961914,yc5j624o,env_reset=40 aorpo alpha50
413,0.0,-1487.1657485961914,yc5j624o,env_reset=40 aorpo alpha50
515,0.0,-1656.6883735656738,yc5j624o,env_reset=40 aorpo alpha50
594,0.0,-1656.6883735656738,yc5j624o,env_reset=40 aorpo alpha50
696,0.0,-2090.1064109802246,yc5j624o,env_reset=40 aorpo alpha50
775,0.0,-2090.1064109802246,yc5j624o,env_reset=40 aorpo alpha50
877,0.0,-1303.8916053771973,yc5j624o,env_reset=40 aorpo alpha50
956,0.0,-1303.8916053771973,yc5j624o,env_reset=40 aorpo alpha50
1058,0.0,-1366.6423797607422,yc5j624o,env_reset=40 aorpo alpha50
1137,0.0,-1366.6423797607422,yc5j624o,env_reset=40 aorpo alpha50
1239,0.0,-1358.7622032165527,yc5j624o,env_reset=40 aorpo alpha50
1318,0.0,-1358.7622032165527,yc5j624o,env_reset=40 aorpo alpha50
1420,0.0,-1425.7712326049805,yc5j624o,env_reset=40 aorpo alpha50
1499,0.0,-1425.7712326049805,yc5j624o,env_reset=40 aorpo alpha50
1601,0.0,-1545.2764129638672,yc5j624o,env_reset=40 aorpo alpha50
1680,0.0,-1545.2764129638672,yc5j624o,env_reset=40 aorpo alpha50
1782,0.0,-1869.2146682739258,yc5j624o,env_reset=40 aorpo alpha50
1861,0.0,-1869.2146682739258,yc5j624o,env_reset=40 aorpo alpha50
1963,0.0,-1839.6430625915527,yc5j624o,env_reset=40 aorpo alpha50
2042,0.0,-1839.6430625915527,yc5j624o,env_reset=40 aorpo alpha50
2144,0.0,-1813.4390411376953,yc5j624o,env_reset=40 aorpo alpha50
2223,0.0,-1813.4390411376953,yc5j624o,env_reset=40 aorpo alpha50
2325,0.0,-1754.2550926208496,yc5j624o,env_reset=40 aorpo alpha50
2404,0.0,-1754.2550926208496,yc5j624o,env_reset=40 aorpo alpha50
2506,0.0,-1914.0111923217773,yc5j624o,env_reset=40 aorpo alpha50
2585,0.0,-1914.0111923217773,yc5j624o,env_reset=40 aorpo alpha50
2687,0.0,-1561.9860038757324,yc5j624o,env_reset=40 aorpo alpha50
2766,0.0,-1561.9860038757324,yc5j624o,env_reset=40 aorpo alpha50
2868,0.0,-2070.3319664001465,yc5j624o,env_reset=40 aorpo alpha50
2947,0.0,-2070.3319664001465,yc5j624o,env_reset=40 aorpo alpha50
3049,0.0,-1885.7699584960938,yc5j624o,env_reset=40 aorpo alpha50
3128,0.0,-1885.7699584960938,yc5j624o,env_reset=40 aorpo alpha50
3230,0.0,-1851.802619934082,yc5j624o,env_reset=40 aorpo alpha50
3309,0.0,-1851.802619934082,yc5j624o,env_reset=40 aorpo alpha50
3411,0.0,-1384.2143478393555,yc5j624o,env_reset=40 aorpo alpha50
3490,0.0,-1384.2143478393555,yc5j624o,env_reset=40 aorpo alpha50
3592,0.0,-1673.1739768981934,yc5j624o,env_reset=40 aorpo alpha50
3671,0.0,-1673.1739768981934,yc5j624o,env_reset=40 aorpo alpha50
3773,0.0,-1692.1477966308594,yc5j624o,env_reset=40 aorpo alpha50
3852,0.0,-1692.1477966308594,yc5j624o,env_reset=40 aorpo alpha50
3954,0.0,-1658.2749557495117,yc5j624o,env_reset=40 aorpo alpha50
4033,0.0,-1658.2749557495117,yc5j624o,env_reset=40 aorpo alpha50
4135,0.0,-1758.9411087036133,yc5j624o,env_reset=40 aorpo alpha50
4214,1024.0,-1758.9411087036133,yc5j624o,env_reset=40 aorpo alpha50
4316,1024.0,-1715.2404861450195,yc5j624o,env_reset=40 aorpo alpha50
4395,2048.0,-1715.2404861450195,yc5j624o,env_reset=40 aorpo alpha50
4497,2048.0,-1732.4834747314453,yc5j624o,env_reset=40 aorpo alpha50
4576,3072.0,-1732.4834747314453,yc5j624o,env_reset=40 aorpo alpha50
4678,3072.0,-1802.3976097106934,yc5j624o,env_reset=40 aorpo alpha50
4757,4096.0,-1802.3976097106934,yc5j624o,env_reset=40 aorpo alpha50
4859,4096.0,-1808.2257118225098,yc5j624o,env_reset=40 aorpo alpha50
4938,5120.0,-1808.2257118225098,yc5j624o,env_reset=40 aorpo alpha50
5040,5120.0,-1783.2565956115723,yc5j624o,env_reset=40 aorpo alpha50
